rank,edits
1808,44091
1809,44079
1810,44043
1811,44035
1812,43936
1813,43910
1814,43858
1815,43850
1816,43819
1817,43813
1818,43766
1819,43753
1820,43743
1821,43741
1822,43715
1823,43702
1824,43693
1825,43650
1826,43568
1827,43550
1828,43497
1829,43433
1830,43428
1831,43421
1832,43403
1833,43399
1834,43388
1835,43314
1836,43310
1837,43284
1838,43267
1839,43266
1840,43264
1841,43238
1842,43174
1843,43165
1844,43165
1845,43158
1846,43142
1847,43134
1848,43123
1849,43082
1850,43076
1851,43062
1852,43059
1853,43053
1854,43049
1855,43041
1856,43032
1857,43017
1858,43002
1859,42979
1860,42967
1861,42964
1862,42927
1863,42926
1864,42907
1865,42890
1866,42884
1867,42865
1868,42742
1869,42732
1870,42720
1871,42712
1872,42687
1873,42664
1874,42645
1875,42629
1876,42601
1877,42595
1878,42575
1879,42570
1880,42564
1881,42562
1882,42504
1883,42501
1884,42464
1885,42463
1886,42430
1887,42428
1888,42392
1889,42391
1890,42382
1891,42337
1892,42265
1893,42250
1894,42227
1895,42210
1896,42197
1897,42165
1898,42165
1899,42157
1900,42135
1901,42112
1902,42076
1903,42061
1904,42047
1905,42031
1906,41969
1907,41957
1908,41951
1909,41937
1910,41926
1911,41924
1912,41919
1913,41880
1914,41870
1915,41868
1916,41863
1917,41841
1918,41831
1919,41818
1920,41812
1921,41811
1922,41778
1923,41774
1924,41764
1925,41758
1926,41755
1927,41754
1928,41747
1929,41741
1930,41666
1931,41656
1932,41641
1933,41606
1934,41593
1935,41567
1936,41551
1937,41535
1938,41511
1939,41492
1940,41472
1941,41458
1942,41434
1943,41415
1944,41414
1945,41404
1946,41348
1947,41346
1948,41314
1949,41230
1950,41217
1951,41172
1952,41151
1953,41125
1954,41116
1955,41115
1956,41108
1957,41105
1958,41103
1959,41098
1960,41096
1961,41082
1962,41072
1963,41047
1964,41038
1965,41023
1966,40997
1967,40994
1968,40985
1969,40979
1970,40973
1971,40968
1972,40956
1973,40954
1974,40927
1975,40913
1976,40902
1977,40892
1978,40882
1979,40876
1980,40813
1981,40789
1982,40774
1983,40758
1984,40758
1985,40756
1986,40747
1987,40745
1988,40735
1989,40721
1990,40699
1991,40656
1992,40650
1993,40635
1994,40622
1995,40620
1996,40619
1997,40602
1998,40586
1999,40571
2000,40542
2001,40503
2002,40485
2003,40470
2004,40430
2005,40399
2006,40393
2007,40381
2008,40373
2009,40339
2010,40317
2011,40301
2012,40283
2013,40266
2014,40262
2015,40235
2016,40225
2017,40222
2018,40218
2019,40215
2020,40191
2021,40190
2022,40176
2023,40156
2024,40155
2025,40137
2026,40079
2027,40058
2028,40056
2029,40014
2030,39980
2031,39973
2032,39964
2033,39961
2034,39940
2035,39921
2036,39912
2037,39898
2038,39898
2039,39841
2040,39839
2041,39834
2042,39825
2043,39817
2044,39816
2045,39808
2046,39759
2047,39750
2048,39750
2049,39738
2050,39707
2051,39698
2052,39688
2053,39665
2054,39664
2055,39647
2056,39636
2057,39616
2058,39575
2059,39565
2060,39545
2061,39537
2062,39525
2063,39489
2064,39483
2065,39482
2066,39467
2067,39452
2068,39409
2069,39398
2070,39388
2071,39327
2072,39311
2073,39275
2074,39248
2075,39235
2076,39234
2077,39230
2078,39218
2079,39149
2080,39143
2081,39130
2082,39081
2083,39073
2084,39066
2085,39062
2086,39022
2087,39005
2088,38990
2089,38979
2090,38969
2091,38962
2092,38960
2093,38947
2094,38946
2095,38905
2096,38873
2097,38847
2098,38835
2099,38827
2100,38820
2101,38802
2102,38788
2103,38788
2104,38786
2105,38779
2106,38763
2107,38759
2108,38738
2109,38730
2110,38729
2111,38715
2112,38713
2113,38704
2114,38703
2115,38695
2116,38693
2117,38676
2118,38676
2119,38661
2120,38613
2121,38612
2122,38606
2123,38583
2124,38583
2125,38578
2126,38531
2127,38440
2128,38437
2129,38432
2130,38430
2131,38428
2132,38408
2133,38359
2134,38351
2135,38349
2136,38277
2137,38233
2138,38220
2139,38168
2140,38140
2141,38118
2142,38113
2143,38086
2144,38075
2145,38072
2146,38070
2147,38033
2148,38028
2149,37994
2150,37992
2151,37982
2152,37977
